location,property_type,area,bedrooms,bathrooms,age,parking,furnishing,pool,gym,lift,security,garden,clubhouse,price
Delhi,Independent House,974,2,1,24,2,Unfurnished,0,0,1,1,1,0,8696910
Mumbai,Villa,973,4,3,13,2,Luxury,1,0,0,1,1,1,18118018
Mumbai,Villa,2462,1,3,8,2,Unfurnished,0,1,0,1,1,0,29309860
Chennai,Villa,3161,4,1,6,2,Luxury,0,1,1,1,0,0,25435629
Delhi,Apartment,1872,5,1,17,3,Semi Furnished,0,0,0,1,0,0,15434984
Pune,Independent House,2301,4,4,7,3,Fully Furnished,0,1,0,0,0,1,18368355
Mumbai,Independent House,3960,1,3,23,2,Fully Furnished,1,0,1,1,1,1,52797387
Delhi,Independent House,1918,2,2,18,3,Luxury,0,1,0,1,1,1,21526536
Pune,Villa,2628,1,2,16,2,Semi Furnished,0,1,0,1,0,0,17959720
Pune,Apartment,2523,3,3,19,3,Unfurnished,0,1,1,1,1,0,13360151
Bangalore,Villa,1531,1,4,3,0,Fully Furnished,1,0,1,0,0,1,16671446
Chennai,Independent House,2364,2,2,16,3,Fully Furnished,0,0,0,0,1,0,13023249
Delhi,Apartment,2488,3,4,8,0,Semi Furnished,1,1,0,0,1,1,23223742
Chennai,Villa,3427,3,4,9,1,Luxury,1,1,0,0,1,1,26117266
Pune,Independent House,3999,4,3,0,0,Unfurnished,1,1,0,1,0,0,23909262
Pune,Villa,3173,1,1,9,3,Semi Furnished,0,1,0,0,1,1,23737242
Bangalore,Apartment,3821,5,3,16,2,Semi Furnished,0,1,1,1,1,0,25066226
Hyderabad,Apartment,3370,4,3,2,3,Semi Furnished,0,1,0,1,1,1,18421361
Pune,Independent House,3364,2,4,0,2,Unfurnished,0,0,1,1,1,0,18149601
Hyderabad,Independent House,1075,1,2,17,1,Luxury,1,1,1,1,0,1,8458099
Mumbai,Villa,1745,1,3,6,3,Luxury,1,0,1,0,1,1,28819826
Chennai,Apartment,3975,4,1,21,1,Unfurnished,0,0,1,0,0,0,13669282
Delhi,Apartment,3930,2,3,24,1,Semi Furnished,0,1,0,0,1,0,27728707
Hyderabad,Apartment,2067,2,3,0,1,Unfurnished,1,0,0,1,0,0,10272315
Chennai,Villa,2451,5,2,19,0,Unfurnished,1,1,0,0,1,1,13854514
Hyderabad,Independent House,901,1,3,19,1,Luxury,0,0,1,1,1,1,6566986
Delhi,Independent House,3848,1,2,13,3,Unfurnished,0,1,1,1,1,1,32758397
Chennai,Independent House,3324,3,3,4,3,Fully Furnished,0,0,0,0,1,0,20008367
Chennai,Apartment,3002,5,3,21,0,Unfurnished,1,1,1,0,1,1,12815332
Delhi,Villa,1233,4,2,3,2,Semi Furnished,1,0,1,0,1,0,15412944
Pune,Villa,718,2,3,22,2,Fully Furnished,1,1,0,0,0,1,6240299
Pune,Villa,975,5,2,12,3,Unfurnished,1,1,0,1,1,1,9469941
Delhi,Villa,815,2,2,24,0,Unfurnished,0,1,1,1,1,1,8036349
Bangalore,Villa,2013,4,1,9,3,Unfurnished,1,0,0,1,0,0,15689035
Bangalore,Apartment,1785,3,1,0,3,Fully Furnished,1,0,0,1,0,1,13163188
Pune,Apartment,676,4,1,10,3,Luxury,1,1,1,0,1,0,7297377
Bangalore,Villa,3424,3,1,13,0,Luxury,0,1,1,0,1,1,37736222
Bangalore,Independent House,912,5,1,16,1,Semi Furnished,1,1,0,0,0,0,7697820
Bangalore,Villa,3713,1,2,24,3,Semi Furnished,1,1,1,1,0,1,28574905
Mumbai,Villa,3861,3,1,11,0,Fully Furnished,1,1,1,0,0,1,64063875
Hyderabad,Villa,3119,5,4,14,0,Unfurnished,1,0,1,1,0,0,19211131
Chennai,Villa,2666,2,1,7,3,Unfurnished,1,0,1,1,1,1,14782033
Chennai,Villa,3832,3,1,10,0,Unfurnished,1,1,1,0,1,0,20659832
Bangalore,Independent House,3287,4,2,19,0,Fully Furnished,1,1,1,0,0,1,27248117
Hyderabad,Independent House,1338,2,3,24,3,Fully Furnished,0,0,0,0,0,1,9037480
Hyderabad,Villa,3311,3,2,19,3,Unfurnished,0,0,0,0,1,0,18762321
Pune,Villa,2419,5,3,24,3,Semi Furnished,0,0,1,1,0,1,18826511
Delhi,Independent House,3751,3,4,16,3,Luxury,0,0,0,1,0,1,45293561
Delhi,Apartment,1767,1,2,8,3,Unfurnished,0,1,0,0,1,1,14528956
Mumbai,Apartment,2656,3,2,12,0,Luxury,1,0,0,1,0,1,36775095
Bangalore,Apartment,3998,4,2,24,3,Fully Furnished,1,0,0,0,1,0,30320260
Delhi,Villa,1055,3,2,9,0,Luxury,0,0,1,1,0,0,15425529
Mumbai,Villa,3188,5,2,22,1,Unfurnished,1,1,0,1,0,1,38233670
Pune,Apartment,877,5,1,12,3,Fully Furnished,0,1,1,1,0,1,7627315
Chennai,Apartment,3760,5,3,4,0,Unfurnished,1,1,0,1,1,0,17513070
Hyderabad,Villa,751,3,2,1,1,Luxury,0,1,1,1,1,1,7306596
Pune,Apartment,2062,1,3,8,0,Fully Furnished,1,1,1,1,1,1,14775988
Mumbai,Villa,2104,5,3,25,0,Luxury,1,0,1,0,1,1,34478061
Chennai,Villa,1855,4,4,5,3,Fully Furnished,1,1,0,1,1,1,15129611
Hyderabad,Apartment,2088,5,2,0,1,Luxury,1,0,0,0,0,1,14143996
Delhi,Apartment,3381,4,3,11,3,Semi Furnished,0,0,1,1,1,1,26367469
Hyderabad,Apartment,2644,5,4,17,0,Semi Furnished,1,1,1,0,1,1,13816644
Bangalore,Apartment,1307,4,1,25,2,Luxury,1,0,1,1,0,0,11648779
Delhi,Apartment,1423,2,2,25,3,Unfurnished,0,1,1,1,0,0,9410235
Mumbai,Villa,2753,4,4,18,0,Luxury,0,1,0,1,1,1,44762360
Delhi,Villa,3744,2,4,16,0,Semi Furnished,0,0,1,0,0,1,42290956
Bangalore,Independent House,923,3,2,20,2,Fully Furnished,0,1,0,0,0,0,8236375
Pune,Villa,2908,1,1,2,0,Fully Furnished,1,0,1,0,1,1,24151004
Chennai,Independent House,3896,4,3,14,0,Semi Furnished,0,0,1,1,1,1,18554172
Delhi,Apartment,3542,3,3,12,1,Fully Furnished,1,0,1,0,1,0,30180765
Bangalore,Apartment,807,3,4,19,3,Unfurnished,0,0,1,1,0,0,5805785
Delhi,Independent House,1863,4,1,2,3,Luxury,1,0,0,1,0,0,21454394
Delhi,Villa,1770,5,1,3,3,Luxury,0,1,1,1,1,0,24602451
Delhi,Villa,2084,5,3,2,3,Semi Furnished,1,1,0,0,0,1,23927891
Chennai,Villa,3692,2,2,19,3,Fully Furnished,0,0,0,0,1,1,23369226
Bangalore,Villa,1943,5,3,5,3,Semi Furnished,1,1,1,1,1,0,18731786
Pune,Apartment,2990,3,1,19,3,Luxury,1,0,0,1,0,1,18718917
Pune,Apartment,2945,1,2,0,3,Unfurnished,1,1,0,1,0,1,15508141
Delhi,Independent House,3490,2,2,17,2,Unfurnished,1,1,1,0,1,1,29158502
Pune,Villa,3098,4,2,7,2,Fully Furnished,1,0,1,1,0,1,25020557
Chennai,Villa,1778,1,4,12,2,Fully Furnished,0,1,0,1,0,1,13183971
Pune,Independent House,1476,2,3,17,2,Luxury,0,0,0,0,0,0,11569367
Hyderabad,Apartment,1952,4,1,21,1,Luxury,0,0,1,1,1,0,12540604
Chennai,Independent House,3245,1,1,20,1,Fully Furnished,0,0,1,0,0,1,17733959
Bangalore,Villa,753,1,3,18,0,Fully Furnished,1,1,1,1,0,1,7714065
Hyderabad,Independent House,3594,4,3,22,1,Semi Furnished,0,1,1,0,0,1,21413380
Delhi,Independent House,2241,1,2,4,3,Unfurnished,1,0,0,1,1,0,18941805
Chennai,Independent House,2985,5,1,8,2,Fully Furnished,0,0,0,1,1,0,16951864
Delhi,Villa,3427,1,3,11,1,Fully Furnished,0,0,1,0,1,1,39289581
Delhi,Independent House,3720,2,1,16,3,Semi Furnished,1,0,0,0,0,0,30818597
Delhi,Independent House,3386,2,4,2,3,Unfurnished,0,1,0,1,1,0,28919955
Pune,Independent House,2221,3,1,23,1,Unfurnished,0,0,1,1,0,0,12873086
Hyderabad,Independent House,1775,4,2,24,1,Unfurnished,1,1,1,1,1,1,9405143
Pune,Villa,3276,3,1,5,3,Semi Furnished,0,0,0,0,1,1,24691045
Delhi,Independent House,3972,2,2,14,2,Luxury,0,1,0,0,0,1,44932682
Hyderabad,Apartment,875,1,1,14,0,Semi Furnished,0,0,1,1,0,0,4190373
Hyderabad,Apartment,1559,5,3,18,2,Fully Furnished,0,1,0,0,1,1,9605088
Delhi,Villa,3164,4,4,1,2,Semi Furnished,1,1,1,1,0,1,34657490
Delhi,Independent House,1523,3,2,25,3,Semi Furnished,0,1,1,0,1,0,13538305
Chennai,Villa,2442,3,1,17,1,Unfurnished,0,1,1,0,0,0,13439990
Delhi,Villa,2563,2,3,9,0,Semi Furnished,0,0,0,1,0,0,26246315
Bangalore,Villa,3776,3,4,14,2,Fully Furnished,1,1,1,1,1,0,38981930
Pune,Independent House,1432,3,3,13,0,Fully Furnished,0,0,0,1,1,1,9883657
Chennai,Apartment,2933,2,4,17,2,Luxury,1,1,1,1,0,1,15656048
Pune,Villa,1353,5,1,16,0,Luxury,0,0,0,1,0,0,11343121
Bangalore,Apartment,2671,4,3,1,3,Semi Furnished,1,0,0,1,0,0,18936763
Chennai,Villa,670,5,4,25,1,Fully Furnished,0,0,0,0,0,1,5849032
Chennai,Independent House,2128,4,4,18,1,Unfurnished,0,1,0,0,0,1,10304928
Delhi,Independent House,3208,1,2,2,3,Unfurnished,1,1,0,0,0,0,28845066
Pune,Villa,1710,1,1,21,2,Luxury,0,0,1,0,0,0,15050992
Pune,Independent House,1825,2,2,18,3,Unfurnished,1,1,0,0,1,0,10063759
Bangalore,Apartment,3078,5,4,24,2,Fully Furnished,0,1,1,1,0,1,23076374
Mumbai,Independent House,3384,5,4,2,2,Semi Furnished,0,0,0,1,0,1,43534182
Pune,Apartment,1897,3,1,2,0,Luxury,1,1,1,1,0,0,12712547
Mumbai,Independent House,1023,1,1,11,0,Luxury,1,1,0,1,1,1,16846489
Pune,Villa,2942,5,2,21,3,Semi Furnished,0,0,1,1,1,1,20310633
Bangalore,Independent House,2324,3,4,25,0,Fully Furnished,1,1,0,1,0,1,17976288
Chennai,Apartment,1960,5,4,25,2,Luxury,1,1,1,0,1,1,12758028
Pune,Apartment,1886,2,4,10,2,Luxury,1,0,1,1,1,1,13804482
Delhi,Apartment,3392,5,1,23,3,Semi Furnished,0,1,1,0,1,1,25320640
Chennai,Apartment,3297,2,4,25,3,Fully Furnished,0,1,1,1,1,0,17004970
Chennai,Villa,1047,2,3,5,0,Unfurnished,1,1,1,0,0,0,6603625
Delhi,Villa,2425,3,4,14,1,Semi Furnished,1,0,1,0,1,1,29057523
Hyderabad,Apartment,2026,3,3,14,1,Semi Furnished,1,1,1,0,1,1,11003498
Chennai,Apartment,692,3,1,21,1,Unfurnished,0,0,0,1,1,1,3067378
Mumbai,Villa,1363,4,4,0,1,Semi Furnished,1,1,1,0,0,0,20499577
Pune,Apartment,3874,5,2,11,2,Unfurnished,0,1,0,1,1,1,20268614
Delhi,Independent House,2025,3,4,19,1,Unfurnished,1,0,0,1,0,0,16548828
Bangalore,Independent House,2692,4,4,19,1,Semi Furnished,1,1,0,1,0,0,20582074
Bangalore,Apartment,2447,5,1,11,0,Fully Furnished,1,0,0,1,1,1,19332531
Mumbai,Villa,2601,2,1,18,0,Luxury,0,1,0,1,0,1,41446110
Mumbai,Villa,2851,5,1,18,0,Luxury,1,1,0,1,0,1,46033945
Pune,Apartment,732,4,3,11,0,Fully Furnished,1,0,0,0,1,1,5878390
Bangalore,Apartment,3899,1,3,17,2,Semi Furnished,0,1,1,1,1,0,22662467
Mumbai,Apartment,3286,2,2,7,1,Fully Furnished,1,0,1,1,0,1,39589997
Mumbai,Independent House,3195,1,4,16,2,Unfurnished,1,1,1,1,0,0,36269451
Mumbai,Villa,859,5,4,6,3,Fully Furnished,0,1,1,1,1,1,16543146
Bangalore,Villa,3828,3,1,1,0,Luxury,1,0,0,0,1,1,36688160
Mumbai,Apartment,3262,3,2,8,0,Semi Furnished,1,1,0,1,0,0,33657452
Chennai,Villa,2358,1,1,0,1,Semi Furnished,1,0,0,0,1,0,12697589
Chennai,Apartment,3442,2,4,2,1,Luxury,1,0,0,0,1,1,21104239
Bangalore,Independent House,3227,2,1,16,0,Semi Furnished,0,1,1,0,0,1,23448307
Mumbai,Apartment,1011,2,1,18,3,Unfurnished,1,1,1,0,0,1,10905567
Bangalore,Villa,3790,1,3,6,1,Fully Furnished,1,1,0,0,1,1,33518852
Mumbai,Villa,2763,1,3,10,1,Unfurnished,1,1,1,0,1,0,31815967
Hyderabad,Apartment,1483,1,1,25,3,Fully Furnished,1,1,1,1,0,0,7810510
Chennai,Apartment,3909,2,3,12,0,Semi Furnished,1,1,0,0,0,0,18428545
Hyderabad,Independent House,1866,2,1,0,1,Unfurnished,0,0,1,1,1,0,9832305
Pune,Independent House,3759,1,3,25,3,Unfurnished,1,0,1,0,1,1,20697360
Hyderabad,Independent House,2106,2,3,24,0,Semi Furnished,0,0,0,0,0,0,9908921
Chennai,Independent House,1333,1,4,7,2,Semi Furnished,0,1,1,1,0,1,7328033
Pune,Apartment,1514,5,1,12,0,Semi Furnished,1,1,1,1,0,1,8943811
Bangalore,Independent House,3629,5,2,14,2,Fully Furnished,1,0,0,0,0,1,27410293
Delhi,Independent House,1972,1,4,23,2,Unfurnished,0,0,0,1,1,0,17356386
Bangalore,Villa,981,1,2,16,3,Fully Furnished,1,1,0,0,0,1,9378066
Delhi,Apartment,3313,2,2,9,2,Luxury,1,1,1,1,1,1,31582062
Bangalore,Apartment,1236,1,2,14,3,Unfurnished,1,1,0,1,0,1,7909089
Chennai,Apartment,1245,3,1,6,2,Unfurnished,0,0,0,1,1,0,6090439
Chennai,Apartment,2256,4,2,3,3,Unfurnished,0,0,0,0,0,0,9281435
Mumbai,Independent House,2985,5,3,2,0,Unfurnished,0,0,1,0,0,1,30781181
Mumbai,Apartment,2950,4,4,15,0,Semi Furnished,1,1,0,1,0,0,30177885
Mumbai,Apartment,3115,5,2,20,2,Unfurnished,1,1,1,0,0,1,29674084
Mumbai,Apartment,3183,5,1,12,2,Semi Furnished,1,1,1,1,1,1,32459203
Chennai,Villa,720,3,1,25,3,Semi Furnished,1,0,0,0,0,0,4469096
Pune,Apartment,2958,4,3,5,1,Semi Furnished,0,1,1,0,1,0,17305706
Bangalore,Independent House,1319,4,1,2,0,Fully Furnished,0,0,0,1,0,1,12833080
Bangalore,Apartment,3536,2,3,1,0,Fully Furnished,0,0,0,1,0,1,26295325
Pune,Independent House,1978,3,3,4,1,Unfurnished,1,1,1,0,1,0,13209453
Bangalore,Independent House,3606,3,2,5,0,Fully Furnished,1,0,0,1,0,0,32095125
Bangalore,Independent House,1574,3,3,5,0,Unfurnished,1,1,0,1,0,0,12333315
Chennai,Independent House,3550,1,1,12,3,Unfurnished,1,0,1,1,1,1,16396550
Hyderabad,Independent House,1266,4,1,25,0,Semi Furnished,1,0,1,1,0,0,7215795
Mumbai,Apartment,2840,1,3,19,3,Unfurnished,0,1,0,1,0,0,24211819
Bangalore,Apartment,3455,5,3,21,2,Luxury,1,0,0,0,1,1,26257881
Chennai,Apartment,958,3,4,6,0,Luxury,0,0,0,1,0,1,6989650
Chennai,Independent House,2603,3,1,20,3,Luxury,0,1,1,1,0,1,14785684
Mumbai,Independent House,1526,3,1,4,0,Fully Furnished,0,1,1,0,0,1,22555229
Mumbai,Villa,2945,2,4,9,0,Luxury,1,0,0,0,1,0,55958456
Bangalore,Apartment,1116,1,4,2,3,Semi Furnished,0,0,1,1,0,0,8208096
Mumbai,Villa,1731,5,4,0,3,Fully Furnished,0,1,0,0,0,0,29538451
Hyderabad,Independent House,2283,3,4,20,3,Fully Furnished,1,0,0,1,1,0,15541312
Pune,Villa,758,4,3,22,1,Luxury,0,1,1,1,0,1,8503165
Chennai,Independent House,2613,1,2,4,2,Fully Furnished,1,1,1,1,0,0,15084270
Mumbai,Villa,3710,5,3,1,1,Luxury,0,1,1,0,0,0,61199501
Bangalore,Apartment,735,4,1,11,1,Semi Furnished,1,1,1,1,0,0,6079165
Mumbai,Villa,1327,4,3,11,1,Luxury,1,0,1,0,1,0,22981722
Delhi,Apartment,3251,2,2,8,3,Semi Furnished,0,0,1,0,0,0,24169169
Delhi,Independent House,2335,4,3,14,2,Fully Furnished,0,1,1,1,0,0,24512416
Pune,Independent House,1822,1,4,2,2,Fully Furnished,1,1,1,1,1,0,13237121
Bangalore,Apartment,3305,3,2,23,0,Luxury,1,1,1,1,1,1,27636854
Delhi,Villa,2005,2,4,21,2,Semi Furnished,1,0,0,1,0,1,20178415
Chennai,Villa,3384,3,1,7,2,Semi Furnished,0,1,1,1,1,1,20620565
Mumbai,Apartment,819,5,1,15,1,Luxury,0,1,1,1,0,0,10978962
Bangalore,Independent House,2932,4,2,10,1,Luxury,0,1,1,0,1,0,24450233
Chennai,Apartment,2960,2,4,25,0,Semi Furnished,0,1,1,1,1,1,12638023
Hyderabad,Villa,3592,3,1,10,1,Semi Furnished,0,0,0,0,1,1,21312894
Mumbai,Villa,1284,1,1,9,2,Fully Furnished,1,1,1,0,1,1,20519722
Bangalore,Apartment,678,2,2,23,1,Luxury,0,0,0,0,1,0,5153078
Pune,Independent House,3032,1,1,20,0,Unfurnished,0,0,1,1,1,0,15788505
Mumbai,Villa,1441,1,3,13,0,Semi Furnished,1,0,1,0,0,1,19012962
Hyderabad,Independent House,3094,2,3,16,1,Semi Furnished,1,1,1,0,0,1,19165052
Pune,Independent House,1560,1,1,21,0,Fully Furnished,0,1,0,0,0,0,10535428
Pune,Apartment,1812,3,4,1,0,Luxury,0,0,1,1,1,1,14327407
Hyderabad,Apartment,1166,2,3,11,3,Unfurnished,1,0,1,1,0,0,6441876
Mumbai,Independent House,3425,4,4,20,1,Luxury,0,0,0,0,0,1,54798817
Mumbai,Villa,1342,5,4,24,2,Luxury,0,0,1,1,0,1,24255072
Hyderabad,Independent House,650,5,2,21,2,Fully Furnished,0,1,0,1,1,1,5315643
Delhi,Villa,647,2,4,15,1,Unfurnished,0,1,1,0,1,1,6867196
Bangalore,Villa,2251,2,1,14,3,Luxury,1,0,1,1,1,0,26626606
Pune,Villa,1020,4,4,1,0,Unfurnished,0,1,0,1,1,1,9528579
Bangalore,Independent House,2894,5,4,22,2,Fully Furnished,1,0,0,0,0,1,23901686
Pune,Independent House,3475,1,1,5,3,Fully Furnished,0,1,0,1,0,0,21651891
Mumbai,Apartment,3977,2,3,3,3,Luxury,0,0,1,1,0,1,46586112
Pune,Apartment,2996,4,2,22,1,Luxury,0,0,1,1,1,1,22000196
Pune,Apartment,2229,3,3,14,1,Fully Furnished,0,1,1,1,0,0,13123520
Pune,Independent House,3354,2,2,16,2,Fully Furnished,0,1,1,1,1,1,24471030
Delhi,Apartment,2160,2,1,21,0,Unfurnished,0,1,0,1,1,0,15890000
Pune,Independent House,3686,5,1,11,3,Semi Furnished,0,0,1,0,1,0,25118656
Mumbai,Independent House,2861,1,1,23,2,Fully Furnished,0,1,0,1,0,0,35332783
Bangalore,Villa,1365,2,1,12,0,Unfurnished,1,1,1,0,0,1,10183524
Mumbai,Villa,763,2,3,19,0,Semi Furnished,1,1,1,0,1,0,12715327
Delhi,Apartment,2303,5,4,2,2,Semi Furnished,0,0,1,1,1,1,19319674
Delhi,Villa,2899,1,1,21,2,Luxury,1,0,0,0,1,1,40500850
Hyderabad,Independent House,2812,3,1,16,2,Fully Furnished,1,1,0,1,0,1,18048368
Hyderabad,Apartment,3167,1,2,21,1,Unfurnished,1,0,0,1,0,0,11966548
Pune,Independent House,958,1,1,5,2,Unfurnished,0,0,1,1,1,1,6369319
Mumbai,Independent House,2195,1,1,20,0,Unfurnished,0,0,1,0,1,1,23304579
Chennai,Independent House,2218,1,4,5,1,Luxury,0,1,1,0,1,1,15939404
Hyderabad,Villa,1104,1,1,18,3,Semi Furnished,0,1,0,1,0,1,7953625
Delhi,Apartment,1353,2,3,6,0,Semi Furnished,0,0,1,0,1,0,10829192
Bangalore,Villa,1955,3,2,21,1,Luxury,0,1,0,0,1,1,20688131
Delhi,Villa,3440,5,2,18,2,Fully Furnished,1,1,0,0,1,0,43616844
Pune,Villa,1733,3,2,21,2,Luxury,1,1,1,1,1,1,16793967
Bangalore,Villa,1749,2,2,8,0,Unfurnished,0,0,0,1,0,0,13589000
Delhi,Villa,3278,2,3,12,1,Luxury,1,0,1,0,1,1,43355972
Pune,Apartment,3701,5,2,14,1,Semi Furnished,0,0,1,1,0,0,21156380
Bangalore,Apartment,2113,2,1,21,1,Fully Furnished,1,1,1,1,0,0,16550680
Chennai,Apartment,3638,3,2,12,3,Fully Furnished,1,0,1,1,0,1,17905485
Chennai,Independent House,3074,1,2,14,1,Luxury,0,0,1,0,0,0,16743665
Delhi,Villa,3307,2,4,25,2,Unfurnished,0,1,1,1,0,0,32000549
Mumbai,Apartment,776,2,2,4,0,Semi Furnished,0,0,0,1,0,1,9087055
Delhi,Villa,3547,3,1,6,3,Unfurnished,1,1,0,0,1,0,36556187
Bangalore,Villa,1286,3,4,19,0,Fully Furnished,0,1,1,0,0,0,12053617
Delhi,Villa,3985,2,1,5,3,Luxury,0,0,0,1,0,0,55626728
Pune,Villa,2738,4,3,1,3,Luxury,0,1,1,1,0,1,24144269
Mumbai,Apartment,1760,5,4,8,1,Unfurnished,0,0,0,0,1,0,18769340
Chennai,Independent House,1036,2,4,20,2,Fully Furnished,1,1,1,1,1,0,7111870
Delhi,Independent House,2116,5,4,8,2,Semi Furnished,1,1,0,0,0,1,22665067
Bangalore,Apartment,2682,4,3,25,0,Semi Furnished,0,1,0,0,0,1,18602025
Mumbai,Apartment,1677,2,3,2,0,Unfurnished,1,1,1,0,0,1,17131318
Bangalore,Villa,1397,1,2,19,1,Fully Furnished,0,1,0,0,0,0,14097779
Mumbai,Independent House,2260,5,2,16,0,Luxury,0,0,1,1,1,1,32410571
Bangalore,Independent House,2954,1,3,5,3,Luxury,0,0,1,1,0,1,29115147
Delhi,Independent House,2144,5,4,24,1,Luxury,1,1,1,0,1,0,24231576
Mumbai,Villa,3372,2,3,13,2,Semi Furnished,0,1,0,1,0,1,48603788
Chennai,Apartment,2551,3,3,6,2,Semi Furnished,0,0,1,0,0,0,12737698
Bangalore,Apartment,1622,5,3,4,0,Semi Furnished,0,0,1,0,0,1,11722047
Chennai,Independent House,2610,2,3,12,1,Fully Furnished,0,0,1,1,0,1,14384317
Pune,Apartment,1093,5,4,10,0,Luxury,0,0,1,0,1,1,9439467
Chennai,Apartment,1571,3,4,19,2,Fully Furnished,1,0,1,1,0,1,9452898
Chennai,Independent House,1745,4,2,18,1,Luxury,0,0,1,0,1,1,10785683
Pune,Apartment,3900,1,2,13,3,Luxury,0,1,1,1,1,0,25055326
